channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.4,2022-08-02,releases,3.4.5-stable,0.1,3.4.5
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.5,2022-08-05,releases,3.5-stable,0.1,3.5
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-08-11,releases,4.0-alpha14,0.1,4.0
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-08-30,releases,4.0-alpha15,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-09-02,releases,3.5.1-rc1,0.1,3.5.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-09-07,releases,4.0-alpha16,0.1,4.0
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-09-13,releases,4.0-alpha17,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-09-15,releases,4.0-beta1,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-09-21,releases,3.5.1-rc2,0.1,3.5.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.5,2022-09-28,releases,3.5.1-stable,0.1,3.5.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-09-29,releases,4.0-beta2,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-10-14,releases,4.0-beta3,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-11-01,releases,4.0-beta4,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-11-16,releases,4.0-beta5,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-11-23,releases,4.0-beta6,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-12-01,releases,4.0-beta7,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-12-09,releases,4.0-beta8,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2022-12-14,releases,3.5.2-rc1,0.1,3.5.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-12-19,releases,4.0-beta9,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2022-12-23,releases,4.0-beta10,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-10,releases,4.0-beta11,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2023-01-12,releases,3.5.2-rc2,0.1,3.5.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-13,releases,4.0-beta12,0.1,4.0
